iter	Passed	Remaining
0	153	153023
1	153	76755
2	154	51354
3	155	38645
4	155	31014
5	156	25930
6	157	22315
7	158	19594
8	158	17486
9	159	15799
10	160	14412
11	160	13254
12	161	12278
13	162	11436
14	164	10821
15	166	10222
16	166	9653
17	167	9150
18	168	8703
19	169	8298
20	170	7932
21	171	7604
22	172	7311
23	173	7038
24	174	6788
25	174	6553
26	175	6340
27	176	6140
28	177	5959
29	179	5793
30	180	5645
31	181	5505
32	183	5371
33	184	5242
34	185	5118
35	186	4999
36	187	4886
37	188	4776
38	189	4668
39	190	4574
40	191	4486
41	193	4402
42	194	4327
43	196	4258
44	197	4183
45	198	4112
46	199	4047
47	200	3982
48	201	3918
49	203	3859
50	204	3804
51	205	3748
52	206	3694
53	208	3645
54	209	3603
55	211	3559
56	212	3516
57	213	3473
58	215	3429
59	216	3385
60	217	3344
61	218	3306
62	219	3268
63	220	3231
64	222	3195
65	223	3169
66	225	3143
67	227	3114
68	228	3077
69	229	3046
70	230	3018
71	232	2990
72	233	2964
73	234	2938
74	235	2905
75	236	2877
76	237	2851
77	239	2828
78	240	2806
79	241	2781
80	243	2757
81	244	2736
82	245	2716
83	246	2692
84	248	2670
85	249	2648
86	250	2629
87	251	2610
88	253	2590
89	254	2573
90	255	2556
91	257	2536
92	258	2516
93	259	2499
94	260	2481
95	261	2464
96	262	2446
97	263	2429
98	265	2412
99	266	2396
100	267	2381
101	268	2366
102	269	2349
103	271	2336
104	272	2322
105	273	2305
106	274	2291
107	275	2279
108	277	2265
109	277	2248
110	279	2236
111	280	2223
112	281	2211
113	282	2198
114	284	2190
115	285	2179
116	287	2167
117	288	2156
118	289	2144
119	290	2132
120	291	2117
121	292	2105
122	293	2093
123	294	2083
124	295	2071
125	297	2060
126	298	2053
127	300	2049
128	302	2043
129	303	2033
130	305	2023
131	306	2012
132	307	2004
133	308	1995
134	310	1987
135	311	1979
136	312	1970
137	314	1964
138	316	1957
139	317	1948
140	318	1939
141	319	1931
142	320	1921
143	321	1913
144	322	1904
145	324	1896
146	325	1888
147	326	1881
148	328	1874
149	329	1868
150	331	1863
151	333	1858
152	335	1856
153	336	1850
154	338	1843
155	338	1833
156	340	1826
157	341	1818
158	342	1811
159	343	1805
160	345	1799
161	346	1794
162	347	1786
163	349	1779
164	350	1772
165	351	1765
166	352	1758
167	353	1751
168	354	1744
169	355	1737
170	357	1731
171	358	1726
172	360	1721
173	361	1716
174	362	1710
175	363	1703
176	364	1697
177	366	1691
